i:id,i:Paytable Trigger DID,s:Paytable Trigger Type,s:Paytable Trigger Name,i:Paytable DID,s:Paytable Name,i:One Time Reward,i:Number of Reward Sets,s:Number of Rewards per Set,f:Set Odds 1,s:Set Type 1,i:Set 1 Reward DID 1,i:Set 1 Reward DID 2,i:Set 1 Reward DID 3,i:Set 1 Reward DID 4,i:Set 1 Reward DID 5,i:Set 1 Reward DID 6,i:Set 1 Reward DID 7,i:Set 1 Reward DID 8,i:Set 1 Reward DID 9,i:Set 1 Reward DID 10,i:Set 1 Reward DID 11,f:Set 1 Reward Odds 1,f:Set 1 Reward Odds 2,f:Set 1 Reward Odds 3,f:Set 1 Reward Odds 4,f:Set 1 Reward Odds 5,f:Set 1 Reward Odds 6,f:Set 1 Reward Odds 7,f:Set 1 Reward Odds 8,f:Set 1 Reward Odds 9,f:Set 1 Reward Odds 10,f:Set 1 Reward Odds 11,i:Set 1 Reward Amount 1,i:Set 1 Reward Amount 2,i:Set 1 Reward Amount 3,i:Set 1 Reward Amount 4,i:Set 1 Reward Amount 5,i:Set 1 Reward Amount 6,i:Set 1 Reward Amount 7,i:Set 1 Reward Amount 8,i:Set 1 Reward Amount 9,i:Set 1 Reward Amount 10,i:Set 1 Reward Amount 11,f:Set Odds 2,s:Set Type 2,i:Set 2 Reward DID 1,i:Set 2 Reward DID 2,i:Set 2 Reward DID 3,i:Set 2 Reward DID 4,f:Set 2 Reward Odds 1,f:Set 2 Reward Odds 2,f:Set 2 Reward Odds 3,f:Set 2 Reward Odds 4,i:Set 2 Reward Amount 1,i:Set 2 Reward Amount 2,i:Set 2 Reward Amount 3,i:Set 2 Reward Amount 4,f:Set Odds 3,s:Set Type 3,i:Set 3 Reward DID 1,i:Set 3 Reward DID 2,i:Set 3 Reward DID 3,i:Set 3 Reward DID 4,f:Set 3 Reward Odds 1,f:Set 3 Reward Odds 2,f:Set 3 Reward Odds 3,f:Set 3 Reward Odds 4,i:Set 3 Reward Amount 1,i:Set 3 Reward Amount 2,i:Set 3 Reward Amount 3,i:Set 3 Reward Amount 4
176,80004,wish,!!FOOD_BAKED_DUTCHMANSDUTCHAPPLEPIE,7,bottomite_blue_male_minnow,1,-1,-1,1,recipes,80002,15,10008,30001,27,2002,30007,60016,80007,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
177,80001,wish,!!FOOD_BAKED_CHERRIESGARY,7,bottomite_blue_male_minnow,1,-1,-1,1,recipes,80002,15,10008,30001,27,2002,30007,60016,80007,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
178,1,wish,!!FOOD_KRABBYPATTY,8,bottomite_orange_male_dingus,1,-1,-1,1,recipes,10009,22,13,20001,2002,20000,30007,70000,80007,60001,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
179,16,wish,!!FOOD_DUTCHDOUBLE,8,bottomite_orange_male_dingus,1,-1,-1,1,recipes,10009,22,13,20001,2002,20000,30007,70000,80007,60001,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,41,wish,!!FOOD_GARLICBREAD,8,bottomite_orange_male_dingus,1,-1,-1,1,recipes,10009,22,13,20001,2002,20000,30007,70000,80007,60001,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
181,20003,wish,!!JUICE_ORANGE,8,bottomite_orange_male_dingus,1,-1,-1,1,recipes,10009,22,13,20001,2002,20000,30007,70000,80007,60001,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
182,30003,wish,!!SMOOTHIE_CHERRYADE_CHILLER,8,bottomite_orange_male_dingus,1,-1,-1,1,recipes,10009,22,13,20001,2002,20000,30007,70000,80007,60001,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
183,50006,wish,!!SHAKE_TARTBERRY_TWIST,8,bottomite_orange_male_dingus,1,-1,-1,1,recipes,10009,22,13,20001,2002,20000,30007,70000,80007,60001,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
184,60016,wish,!!BOUQUET_FLOWERCORAL_BUNCHOBRANCHES,8,bottomite_orange_male_dingus,1,-1,-1,1,recipes,10009,22,13,20001,2002,20000,30007,70000,80007,60001,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
185,70002,wish,!!PERFUME_CAPSIZEFORHIM,8,bottomite_orange_male_dingus,1,-1,-1,1,recipes,10009,22,13,20001,2002,20000,30007,70000,80007,60001,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
186,80006,wish,!!FOOD_BAKED_FERRYCHERRYCHEESECAKE,8,bottomite_orange_male_dingus,1,-1,-1,1,recipes,10009,22,13,20001,2002,20000,30007,70000,80007,60001,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
187,80009,wish,!!FOOD_BAKED_MAROONEDMACAROONS,8,bottomite_orange_male_dingus,1,-1,-1,1,recipes,10009,22,13,20001,2002,20000,30007,70000,80007,60001,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
188,31,wish,!!FOOD_CAESAR_SALAD,9,bottomite_turquoise_male_average,1,-1,-1,1,recipes,70009,80006,60015,2000,20001,20000,30007,70000,80003,60001,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
189,28,wish,!!FOOD_BISQUE,9,bottomite_turquoise_male_average,1,-1,-1,1,recipes,70009,80006,60015,2000,20001,20000,30007,70000,80003,60001,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
190,27,wish,!!FOOD_BRUSCHETTA,9,bottomite_turquoise_male_average,1,-1,-1,1,recipes,70009,80006,60015,2000,20001,20000,30007,70000,80003,60001,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
191,22,wish,!!FOOD_SEAWEEDSALAD,9,bottomite_turquoise_male_average,1,-1,-1,1,recipes,70009,80006,60015,2000,20001,20000,30007,70000,80003,60001,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
192,20004,wish,!!JUICE_PEACHNECTAR,9,bottomite_turquoise_male_average,1,-1,-1,1,recipes,70009,80006,60015,2000,20001,20000,30007,70000,80003,60001,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
193,60018,wish,!!BOUQUET_FLOWERCORAL_CORALPARADISE,9,bottomite_turquoise_male_average,1,-1,-1,1,recipes,70009,80006,60015,2000,20001,20000,30007,70000,80003,60001,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
194,70002,wish,!!PERFUME_CAPSIZEFORHIM,9,bottomite_turquoise_male_average,1,-1,-1,1,recipes,70009,80006,60015,2000,20001,20000,30007,70000,80003,60001,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
195,80016,wish,!!FOOD_BAKED_THEAPPLEFANCYSON,9,bottomite_turquoise_male_average,1,-1,-1,1,recipes,70009,80006,60015,2000,20001,20000,30007,70000,80003,60001,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
196,80002,wish,!!FOOD_BAKED_COCONUTCOBBLER,9,bottomite_turquoise_male_average,1,-1,-1,1,recipes,70009,80006,60015,2000,20001,20000,30007,70000,80003,60001,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
197,80008,wish,!!FOOD_BAKED_LIFESABEACHPEACHCOBBLER,9,bottomite_turquoise_male_average,1,-1,-1,1,recipes,70009,80006,60015,2000,20001,20000,30007,70000,80003,60001,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
198,1,wish,!!FOOD_KRABBYPATTY,10,bottomite_orange_male_dingus_2,1,-1,-1,1,recipes,30006,80006,97,20002,60000,99,20000,40003,70000,60016,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
199,19,wish,!!FOOD_KELPCAKE,10,bottomite_orange_male_dingus_2,1,-1,-1,1,recipes,30006,80006,97,20002,60000,99,20000,40003,70000,60016,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
200,23,wish,!!FOOD_KELPKLT,10,bottomite_orange_male_dingus_2,1,-1,-1,1,recipes,30006,80006,97,20002,60000,99,20000,40003,70000,60016,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201,95,wish,!!FOOD_CUBEDKETCHUPKABOBS,10,bottomite_orange_male_dingus_2,1,-1,-1,1,recipes,30006,80006,97,20002,60000,99,20000,40003,70000,60016,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
202,20000,wish,!!JUICE_APPLE,10,bottomite_orange_male_dingus_2,1,-1,-1,1,recipes,30006,80006,97,20002,60000,99,20000,40003,70000,60016,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
203,30004,wish,!!SMOOTHIE_CITRUS_SLURVEY,10,bottomite_orange_male_dingus_2,1,-1,-1,1,recipes,30006,80006,97,20002,60000,99,20000,40003,70000,60016,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
204,40003,wish,!!ICECREAM_CARAMEL,10,bottomite_orange_male_dingus_2,1,-1,-1,1,recipes,30006,80006,97,20002,60000,99,20000,40003,70000,60016,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
205,50002,wish,!!SHAKE_CORAL_CRUSH,10,bottomite_orange_male_dingus_2,1,-1,-1,1,recipes,30006,80006,97,20002,60000,99,20000,40003,70000,60016,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
206,80014,wish,!!FOOD_BAKED_SHELDONSSTRAWBERRYSHORTCAKE,10,bottomite_orange_male_dingus_2,1,-1,-1,1,recipes,30006,80006,97,20002,60000,99,20000,40003,70000,60016,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
207,80004,wish,!!FOOD_BAKED_DUTCHMANSDUTCHAPPLEPIE,10,bottomite_orange_male_dingus_2,1,-1,-1,1,recipes,30006,80006,97,20002,60000,99,20000,40003,70000,60016,-1,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
208,31,wish,!!FOOD_CAESAR_SALAD,11,genescallops,1,-1,-1,1,recipes,18,80015,32,30003,2002,30007,40000,50004,60001,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
209,27,wish,!!FOOD_BRUSCHETTA,11,genescallops,1,-1,-1,1,recipes,18,80015,32,30003,2002,30007,40000,50004,60001,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
210,41,wish,!!FOOD_GARLICBREAD,11,genescallops,1,-1,-1,1,recipes,18,80015,32,30003,2002,30007,40000,50004,60001,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
211,20001,wish,!!JUICE_LEMONADE,11,genescallops,1,-1,-1,1,recipes,18,80015,32,30003,2002,30007,40000,50004,60001,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
212,30008,wish,!!SMOOTHIE_ORANGE_NUT,11,genescallops,1,-1,-1,1,recipes,18,80015,32,30003,2002,30007,40000,50004,60001,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
213,50006,wish,!!SHAKE_TARTBERRY_TWIST,11,genescallops,1,-1,-1,1,recipes,18,80015,32,30003,2002,30007,40000,50004,60001,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
214,50003,wish,!!SHAKE_FRUTIY_BREEZE,11,genescallops,1,-1,-1,1,recipes,18,80015,32,30003,2002,30007,40000,50004,60001,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
215,60016,wish,!!BOUQUET_FLOWERCORAL_BUNCHOBRANCHES,11,genescallops,1,-1,-1,1,recipes,18,80015,32,30003,2002,30007,40000,50004,60001,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
216,70002,wish,!!PERFUME_CAPSIZEFORHIM,11,genescallops,1,-1,-1,1,recipes,18,80015,32,30003,2002,30007,40000,50004,60001,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
217,80001,wish,!!FOOD_BAKED_CHERRIESGARY,11,genescallops,1,-1,-1,1,recipes,18,80015,32,30003,2002,30007,40000,50004,60001,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
218,1,wish,!!FOOD_KRABBYPATTY,12,policefish,1,-1,-1,1,recipes,30000,32,15,30008,27,30002,40000,50004,-1,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
219,15,wish,!!FOOD_CRYJOHNNY,12,policefish,1,-1,-1,1,recipes,30000,32,15,30008,27,30002,40000,50004,-1,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
220,16,wish,!!FOOD_DUTCHDOUBLE,12,policefish,1,-1,-1,1,recipes,30000,32,15,30008,27,30002,40000,50004,-1,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
221,20000,wish,!!JUICE_APPLE,12,policefish,1,-1,-1,1,recipes,30000,32,15,30008,27,30002,40000,50004,-1,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
222,30007,wish,!!SMOOTHIE_NANNAS_C_SERENADE,12,policefish,1,-1,-1,1,recipes,30000,32,15,30008,27,30002,40000,50004,-1,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
223,40008,wish,!!ICECREAM_VANILLA,12,policefish,1,-1,-1,1,recipes,30000,32,15,30008,27,30002,40000,50004,-1,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
224,50003,wish,!!SHAKE_FRUTIY_BREEZE,12,policefish,1,-1,-1,1,recipes,30000,32,15,30008,27,30002,40000,50004,-1,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
225,80004,wish,!!FOOD_BAKED_DUTCHMANSDUTCHAPPLEPIE,12,policefish,1,-1,-1,1,recipes,30000,32,15,30008,27,30002,40000,50004,-1,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
226,80006,wish,!!FOOD_BAKED_FERRYCHERRYCHEESECAKE,12,policefish,1,-1,-1,1,recipes,30000,32,15,30008,27,30002,40000,50004,-1,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
227,80009,wish,!!FOOD_BAKED_MAROONEDMACAROONS,12,policefish,1,-1,-1,1,recipes,30000,32,15,30008,27,30002,40000,50004,-1,-1,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
228,15,wish,!!FOOD_CRYJOHNNY,13,squidward,1,-1,-1,1,recipes,19,16,22,30003,96,27,30007,60016,50005,80007,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
229,46,wish,!!FOOD_SALAD,13,squidward,1,-1,-1,1,recipes,19,16,22,30003,96,27,30007,60016,50005,80007,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
230,28,wish,!!FOOD_BISQUE,13,squidward,1,-1,-1,1,recipes,19,16,22,30003,96,27,30007,60016,50005,80007,-1,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,-1,1,1,1,1,1,1,1,1,1,1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
