i:id,s:Name,s:Tag,s:Craft  Description,i:DID,i:Product ID,i:Building ID,s:Building Name,i:Minimum Level,i:Craft Time,i:XP Reward,i:Amount Crafted,i:Ingredient ID 1,i:Ingredient ID 2,i:Ingredient ID 3,i:Ingredient ID 4,i:Ingredient ID 5,i:Ingredient ID 6,i:Ingredient Amount 1,i:Ingredient Amount 2,i:Ingredient Amount 3,i:Ingredient Amount 4,i:Ingredient Amount 5,i:Ingredient Amount 6,s:Start Sound,s:Ready Sound,s:Product Group,i:Group Order,s:Garden Display Started,s:Garden Display Half,s:Garden Display Done,i:Ignore Recipe Cap,s:Touch Sound,s:Start Sound Beat,s:Ready Sound Beat,i:Ignore Random Recipe Quest,i:Coral Bits Amount 1,i:Coral Bits Amount 2,i:Coral Bits Amount 3,f:Coral Bits Odds 1,f:Coral Bits Odds 2,f:Coral Bits Odds 3
73,!!FOOD_HOT_CHOCOLATE,hot_chocolate,!!CRAFT_GROWING,9123,9123,1054,!!BLDG_NAME_JUICEBAR,13,14400,23,1,9109,9107,9108,9113,-1,-1,1,1,1,1,-1,-1,GardenCropStarted,VeggieItemReady,hot_chocolate,10,n/a,n/a,n/a,1,n/a,n/a,n/a,1,-1,-1,-1,-1,-1,-1
74,!!JUICE_APPLE,applejuice,!!CRAFT_GROWING,20000,20000,1054,!!BLDG_NAME_JUICEBAR,14,120,14,1,10001,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,applejuice,20,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
75,!!JUICE_LEMONADE,lemonade,!!CRAFT_GROWING,20001,20001,1054,!!BLDG_NAME_JUICEBAR,8,240,14,1,10004,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,lemonade,30,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
76,!!JUICE_LIMEADE,limeade,!!CRAFT_GROWING,20002,20002,1054,!!BLDG_NAME_JUICEBAR,8,480,14,1,10005,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,limeade,40,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
77,!!JUICE_ORANGE,orangejuice,!!CRAFT_GROWING,20003,20003,1054,!!BLDG_NAME_JUICEBAR,8,60,12,1,10006,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,orangejuice,10,n/a,n/a,n/a,1,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
78,!!JUICE_PEACHNECTAR,peachnectar,!!CRAFT_GROWING,20004,20004,1054,!!BLDG_NAME_JUICEBAR,26,900,18,1,10007,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,peachnectar,50,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
79,!!SMOOTHIE_BANANA_BREAKER,bananabreaker,!!CRAFT_GROWING,30000,30000,1054,!!BLDG_NAME_JUICEBAR,22,43200,45,1,10000,10003,-1,-1,-1,-1,2,2,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,bananabreaker,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
80,!!SMOOTHIE_BERRY_BLAST,berryblast,!!CRAFT_GROWING,30001,30001,1054,!!BLDG_NAME_JUICEBAR,8,14400,23,1,10008,10002,10009,-1,-1,-1,2,1,1,-1,-1,-1,GardenCropStarted,VeggieItemReady,berryblast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
81,!!SMOOTHIE_CHERRY_SLURVEY,cherryslurvey,!!CRAFT_GROWING,30002,30002,1054,!!BLDG_NAME_JUICEBAR,8,3600,23,1,10002,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,cherryslurvey,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
82,!!SMOOTHIE_CHERRYADE_CHILLER,cherryadechiller,!!CRAFT_GROWING,30003,30003,1054,!!BLDG_NAME_JUICEBAR,12,1800,21,1,10002,20001,-1,-1,-1,-1,2,2,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,cherryadechiller,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
83,!!SMOOTHIE_CITRUS_SLURVEY,citrusslurvey,!!CRAFT_GROWING,30004,30004,1054,!!BLDG_NAME_JUICEBAR,8,21600,26,1,20003,20001,20002,-1,-1,-1,1,4,4,-1,-1,-1,GardenCropStarted,VeggieItemReady,citrusslurvey,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
84,!!SMOOTHIE_HANG_8,hang8,!!CRAFT_GROWING,30005,30005,1054,!!BLDG_NAME_JUICEBAR,22,900,18,1,20001,10003,20002,-1,-1,-1,3,2,3,-1,-1,-1,GardenCropStarted,VeggieItemReady,hang8,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
85,!!SMOOTHIE_LIQUID_COBBLER,liquidcobbler,!!CRAFT_GROWING,30006,30006,1054,!!BLDG_NAME_JUICEBAR,21,86400,50,1,10009,20004,-1,-1,-1,-1,3,3,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,liquidcobbler,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
86,!!SMOOTHIE_NANNAS_C_SERENADE,nannascsernade,!!CRAFT_GROWING,30007,30007,1054,!!BLDG_NAME_JUICEBAR,8,900,18,1,10000,20003,-1,-1,-1,-1,4,1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,nannascsernade,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
87,!!SMOOTHIE_ORANGE_NUT,orangenut,!!CRAFT_GROWING,30008,30008,1054,!!BLDG_NAME_JUICEBAR,8,300,14,1,10006,20003,-1,-1,-1,-1,4,1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,orangenut,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
88,!!SMOOTHIE_STRAWBERRY_SQUEEZE,strawberrysqueeze,!!CRAFT_GROWING,30009,30009,1054,!!BLDG_NAME_JUICEBAR,16,3600,23,1,10008,20001,-1,-1,-1,-1,2,2,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,straberrysqueeze,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
89,!!SMOOTHIE_STRAWNANA_TSUNAMI,strawnanatsunami,!!CRAFT_GROWING,30010,30010,1054,!!BLDG_NAME_JUICEBAR,8,1800,21,1,10000,10008,-1,-1,-1,-1,2,2,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,strawnanatsunami,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
90,!!SMOOTHIE_WANNANANA,wannanana,!!CRAFT_GROWING,30011,30011,1054,!!BLDG_NAME_JUICEBAR,8,300,14,1,10000,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,wannanana,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
91,!!FLOWERCORAL_BRANCHCORAL,branchcoral,!!CRAFT_GROWING,60000,60000,1055,!!BLDG_NAME_FLOWERSHOP,27,1800,4,1,3,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,FlowerItemStarted,FlowerItemReady,branchcoral,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0,1,2,0.5,0.25,0.25
92,!!FLOWERCORAL_CUPCORAL,cupcoral,!!CRAFT_GROWING,60001,60001,1055,!!BLDG_NAME_FLOWERSHOP,27,900,3,1,3,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,FlowerItemStarted,FlowerItemReady,cupcoral,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0,1,2,0.5,0.25,0.25
93,!!FLOWERCORAL_FLOWER,seaflower,!!CRAFT_GROWING,60002,60002,1055,!!BLDG_NAME_FLOWERSHOP,27,300,1,1,3,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,FlowerItemStarted,FlowerItemReady,seaflower,10,n/a,n/a,n/a,1,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
94,!!FLOWERCORAL_STINKYSEAROSE,stinkysearose,!!CRAFT_GROWING,60003,60003,1055,!!BLDG_NAME_FLOWERSHOP,27,3600,5,1,3,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,StinkyItemStarted,StinkyItemReady,stinkysearose,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
95,!!FLOWERCORAL_TUBECORAL,tubecoral,!!CRAFT_GROWING,60004,60004,1055,!!BLDG_NAME_FLOWERSHOP,27,2700,5,1,3,-1,-1,-1,-1,-1,80,-1,-1,-1,-1,-1,FlowerItemStarted,FlowerItemReady,tubecoral,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0,1,2,0.5,0.25,0.25
96,!!BOUQUET_FLOWERCORAL_FRIENDLYFLOWER,friendlyflower,!!CRAFT_GROWING,60014,60014,1055,!!BLDG_NAME_FLOWERSHOP,27,1800,20,1,60002,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,FlowerItemStarted,FlowerItemReady,friendlyflower,10,n/a,n/a,n/a,1,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
97,!!BOUQUET_FLOWERCORAL_CUPN2FLOWERS,cupn2flowers,!!CRAFT_GROWING,60015,60015,1055,!!BLDG_NAME_FLOWERSHOP,27,7200,21,1,60001,60002,-1,-1,-1,-1,1,2,-1,-1,-1,-1,FlowerItemStarted,FlowerItemReady,cupn2flowers,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
98,!!BOUQUET_FLOWERCORAL_BUNCHOBRANCHES,bunchobranches,!!CRAFT_GROWING,60016,60016,1055,!!BLDG_NAME_FLOWERSHOP,27,3600,21,1,60000,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,FlowerItemStarted,FlowerItemReady,bunchobranches,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
99,!!BOUQUET_FLOWERCORAL_CUPCORALTREE,cupcoraltree,!!CRAFT_GROWING,60017,60017,1055,!!BLDG_NAME_FLOWERSHOP,27,43200,42,1,60000,60001,-1,-1,-1,-1,4,1,-1,-1,-1,-1,FlowerItemStarted,FlowerItemReady,cupcoraltree,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
100,!!BOUQUET_FLOWERCORAL_CORALPARADISE,coralparadise,!!CRAFT_GROWING,60018,60018,1055,!!BLDG_NAME_FLOWERSHOP,27,86400,46,1,60000,60001,60002,60004,-1,-1,1,1,1,2,-1,-1,FlowerItemStarted,FlowerItemReady,coralparadise,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
101,!!ICECREAM_BANANA,bananaicecream,!!CRAFT_GROWING,40000,40000,1056,!!BLDG_NAME_ICECREAMSHOP,23,600,17,1,10000,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,bananaicecream,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
102,!!ICECREAM_BANANA_SPLIT,bananasplit,!!CRAFT_GROWING,40001,40001,1056,!!BLDG_NAME_ICECREAMSHOP,23,600,17,1,10000,10002,40008,40007,40004,-1,1,1,1,1,1,-1,GardenCropStarted,VeggieItemReady,bananasplit,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
103,!!ICECREAM_BERRY_SCOOPS,berryscoops,!!CRAFT_GROWING,40002,40002,1056,!!BLDG_NAME_ICECREAMSHOP,23,300,13,1,10008,10002,10009,-1,-1,-1,2,1,1,-1,-1,-1,GardenCropStarted,VeggieItemReady,berryscoops,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
104,!!ICECREAM_CARAMEL,caramelicecream,!!CRAFT_GROWING,40003,40003,1056,!!BLDG_NAME_ICECREAMSHOP,23,300,1,1,3,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,caramelicecream,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
105,!!ICECREAM_CORAL_BITS,coralbitsicecream,!!CRAFT_GROWING,40004,40004,1056,!!BLDG_NAME_ICECREAMSHOP,25,900,17,1,40006,2001,-1,-1,-1,-1,2,4,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,coralbitsicecream,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
106,!!ICECREAM_LEMON_GELATO,lemongelato,!!CRAFT_GROWING,40005,40005,1056,!!BLDG_NAME_ICECREAMSHOP,23,900,17,1,10004,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,lemongelato,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
107,!!ICECREAM_SEASALT,seasalticecream,!!CRAFT_GROWING,40006,40006,1056,!!BLDG_NAME_ICECREAMSHOP,23,300,1,1,3,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,seasalticecream,10,n/a,n/a,n/a,1,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
108,!!ICECREAM_STRAWBERRY,strawberryicecream,!!CRAFT_GROWING,40007,40007,1056,!!BLDG_NAME_ICECREAMSHOP,23,600,17,1,10008,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,strawberryicecream,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
109,!!ICECREAM_VANILLA,vanillaicecream,!!CRAFT_GROWING,40008,40008,1056,!!BLDG_NAME_ICECREAMSHOP,25,600,17,1,2000,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,vanillaicecream,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
110,!!SHAKE_BANANAS_N_BITS,bananasnbits,!!CRAFT_GROWING,50000,50000,1056,!!BLDG_NAME_ICECREAMSHOP,32,86400,46,1,40000,40004,-1,-1,-1,-1,1,1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,bananasnbits,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
111,!!SHAKE_BERRY_BLISS,berrybliss,!!CRAFT_GROWING,50001,50001,1056,!!BLDG_NAME_ICECREAMSHOP,25,21600,24,1,40002,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,berrybliss,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
112,!!SHAKE_CORAL_CRUSH,coralcrush,!!CRAFT_GROWING,50002,50002,1056,!!BLDG_NAME_ICECREAMSHOP,25,43200,42,1,40004,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,coralcrush,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
113,!!SHAKE_FRUTIY_BREEZE,fruitybreeze,!!CRAFT_GROWING,50003,50003,1056,!!BLDG_NAME_ICECREAMSHOP,24,1800,20,1,40000,40007,-1,-1,-1,-1,1,1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,fruitybreeze,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
114,!!SHAKE_SALTY_BANANA,saltybanana,!!CRAFT_GROWING,50004,50004,1056,!!BLDG_NAME_ICECREAMSHOP,23,300,13,1,40006,40000,-1,-1,-1,-1,1,1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,saltybanana,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
115,!!SHAKE_STRAWBERRY_RIPTIDE,strawberryriptide,!!CRAFT_GROWING,50005,50005,1056,!!BLDG_NAME_ICECREAMSHOP,23,900,17,1,40007,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,strawberryriptide,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
116,!!SHAKE_TARTBERRY_TWIST,tartberrytwist,!!CRAFT_GROWING,50006,50006,1056,!!BLDG_NAME_ICECREAMSHOP,28,10800,21,1,40007,40005,-1,-1,-1,-1,1,1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,tartberrytwist,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
117,!!SHAKE_VANILLA_BLAST,vanillablast,!!CRAFT_GROWING,50007,50007,1056,!!BLDG_NAME_ICECREAMSHOP,26,3600,21,1,40008,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,vanillablast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
118,!!PERFUME_4OFCUPS,4ofcups,!!CRAFT_GROWING,70000,70000,1057,!!BLDG_NAME_PERFUMESHOP,30,300,16,1,60001,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,PerfumeItemStarted,PerfumeItemReady,4ofcups,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
119,!!PERFUME_CAPSIZEFORHER,capsizeforher,!!CRAFT_GROWING,70001,70001,1057,!!BLDG_NAME_PERFUMESHOP,30,900,22,1,60002,60001,-1,-1,-1,-1,2,2,-1,-1,-1,-1,PerfumeItemStarted,PerfumeItemReady,capsizeforher,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
120,!!PERFUME_CAPSIZEFORHIM,capsizeforhim,!!CRAFT_GROWING,70002,70002,1057,!!BLDG_NAME_PERFUMESHOP,30,1800,25,1,60000,60003,-1,-1,-1,-1,3,1,-1,-1,-1,-1,PerfumeItemStarted,PerfumeItemReady,capsizeforhim,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
121,!!PERFUME_CORALBREEZE,coralbreeze,!!CRAFT_GROWING,70005,70005,1057,!!BLDG_NAME_PERFUMESHOP,30,3600,27,1,60002,60001,60000,-1,-1,-1,1,1,2,-1,-1,-1,PerfumeItemStarted,PerfumeItemReady,coralbreeze,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
122,!!PERFUME_FISHERMANSFLOWERS,fishermansflowers,!!CRAFT_GROWING,70006,70006,1057,!!BLDG_NAME_PERFUMESHOP,30,1800,25,1,60002,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,PerfumeItemStarted,PerfumeItemReady,fishermansflowers,10,n/a,n/a,n/a,1,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
123,!!PERFUME_LAMPREYAWAY,lampreyaway,!!CRAFT_GROWING,70007,70007,1057,!!BLDG_NAME_PERFUMESHOP,30,86400,59,1,2002,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,StinkyItemStarted,StinkyItemReady,lampreyaway,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
124,!!PERFUME_SCENTOSAILOR,scentosailor,!!CRAFT_GROWING,70008,70008,1057,!!BLDG_NAME_PERFUMESHOP,30,10800,27,1,60004,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,PerfumeItemStarted,PerfumeItemReady,scentosailor,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
125,!!PERFUME_SEASHANTY,seashanty,!!CRAFT_GROWING,70009,70009,1057,!!BLDG_NAME_PERFUMESHOP,30,21600,31,1,60003,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,StinkyItemStarted,StinkyItemReady,seashanty,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
126,!!PERFUME_THATSSOCORAL,thatssocoral,!!CRAFT_GROWING,70010,70010,1057,!!BLDG_NAME_PERFUMESHOP,30,21600,31,1,60000,60004,-1,-1,-1,-1,2,2,-1,-1,-1,-1,PerfumeItemStarted,PerfumeItemReady,thatssocoral,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
127,!!PERFUME_THEDUMP,thedump,!!CRAFT_GROWING,70011,70011,1057,!!BLDG_NAME_PERFUMESHOP,30,43200,54,1,60004,60003,-1,-1,-1,-1,2,2,-1,-1,-1,-1,StinkyItemStarted,StinkyItemReady,thedump,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
128,!!FOOD_LETTUCE,lettuce,!!CRAFT_GROWING,1000,8,1102,!!BLDG_NAME_SEEDSTORE,1,20,1,2,3,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,GardenCropStarted,SB_Lettuce,lettuce,10,lettuce_seed,lettuce_baby,lettuce_fullgrown,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
129,!!FOOD_ONION,onion,!!CRAFT_GROWING,1001,12,1102,!!BLDG_NAME_SEEDSTORE,6,120,1,2,3,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,GardenCropStarted,GardenCropReady,onion,10,onion_seed,onion_baby,onion_fullgrown,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
130,!!FOOD_POTATO,potato,!!CRAFT_GROWING,1002,13,1102,!!BLDG_NAME_SEEDSTORE,9,1200,4,2,3,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,GardenCropStarted,GardenCropReady,potato,10,potato_seed,potato_baby,potato_fullgrown,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
131,!!FOOD_TOMATO,tomato,!!CRAFT_GROWING,1003,10,1102,!!BLDG_NAME_SEEDSTORE,3,40,1,2,3,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,GardenCropStarted,SB_Tomato,tomato,10,tomato_seed,tomato_baby,tomato_fullgrown,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
132,!!FOOD_KELP,kelp,!!CRAFT_GROWING,1004,14,1102,!!BLDG_NAME_SEEDSTORE,1,600,2,2,3,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,GardenCropStarted,GardenCropReady,kelp,10,kelp_seed,kelp_baby,kelp_fullgrown,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
133,!!FOOD_VANILLA,vanilla,!!CRAFT_GROWING,2000,2000,1102,!!BLDG_NAME_SEEDSTORE,9,2400,5,2,3,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,GardenCropStarted,GardenCropReady,vanilla,10,potato_seed,potato_baby,potato_fullgrown,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
134,!!FOOD_CORALBITS,coralbits,!!CRAFT_GROWING,2001,2001,1102,!!BLDG_NAME_SEEDSTORE,1,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,GardenCropStarted,GardenCropReady,coralbits,10,potato_seed,potato_baby,potato_fullgrown,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
135,!!FOOD_GARLIC,garlic,!!CRAFT_GROWING,2002,2002,1102,!!BLDG_NAME_SEEDSTORE,9,2700,5,2,3,-1,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,GardenCropStarted,GardenCropReady,garlic,10,potato_seed,potato_baby,potato_fullgrown,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
136,!!INGREDIENT_PEANUTS,peanuts,!!CRAFT_BAKING,9115,9115,1102,!!BLDG_NAME_SEEDSTORE,1,120,1,1,3,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,peanuts,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
137,!!INGREDIENT_CORN,corn,!!CRAFT_GROWING,9200,9200,1102,!!BLDG_NAME_SEEDSTORE,1,300,1,2,3,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,corn,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
138,!!FOOD_STRAWBERRY,strawberry,!!CRAFT_GROWING,10008,10008,1102,!!BLDG_NAME_SEEDSTORE,8,1800,4,2,3,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,strawberry,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
139,!!FOOD_BLUEBERRY,blueberry,!!CRAFT_GROWING,10009,10009,1102,!!BLDG_NAME_SEEDSTORE,8,3600,5,2,3,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,blueberry,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
140,!!FOOD_RUSTYS_SPICY_SPACKLE_SAUCE,spicyspacklesauce,!!CRAFT_MAKING,9017,9017,9035,!!BLDG_NAME_RUSTYS_RIB_EYE,9,600,1,1,9002,9010,-1,-1,-1,-1,1,1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,spicyspacklesauce,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
141,!!FOOD_KRABBY_ON_RYE,krabbyonrye,!!CRAFT_MAKING,9013,9013,9035,!!BLDG_NAME_RUSTYS_RIB_EYE,9,30,1,1,90,9004,-1,-1,-1,-1,1,1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,krabbyonrye,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
142,!!FOOD_RUSTYS_RIBEYE_SANDWICH,ribeyesandwich,!!CRAFT_MAKING,9019,9019,9035,!!BLDG_NAME_RUSTYS_RIB_EYE,9,3600,48,1,9004,8,9014,-1,-1,-1,1,4,1,-1,-1,-1,BakedItemStarted,BakedItemReady,ribeyesandwich,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
143,!!FOOD_RUSTYS_RUSTY_ON_RYE,rustyonrye,!!CRAFT_MAKING,9016,9016,9035,!!BLDG_NAME_RUSTYS_RIB_EYE,9,3600,24,1,9004,9009,9010,-1,-1,-1,3,3,2,-1,-1,-1,BakedItemStarted,BakedItemReady,rustyonrye,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
144,!!FOOD_RUSTYS_BARK_CHOP_SANDWICH,barkchopsandwich,!!CRAFT_MAKING,9000,9000,9035,!!BLDG_NAME_RUSTYS_RIB_EYE,9,7200,21,1,9004,8,-1,-1,-1,-1,3,1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,barkchopsandwich,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
