i:ID,s:Type,s:Name,i:DID,i:Height,i:Width,i:Is Waypoint,i:Level Min,s:Portrait,i:Flippable,i:Shareable Space,s:Point Of Interest Facing,i:Point Of Interest X,i:Point Of Interest Y,i:Completion Reward XP,s:Completion Reward Thought Icon,s:Completion Sound,s:Accept Placement Sound,i:Build Time
136,building,!!BLDG_NAME_MASSIVE_WREATH,20091,40,20,1,1,MassiveWreath_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
137,building,!!BLDG_NAME_MISTLETOE,20092,20,20,1,1,Mistletoe_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
138,building,!!BLDG_NAME_ORNAMENT_1,20093,20,20,1,1,Ornament1_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
139,building,!!BLDG_NAME_ORNAMENT_2,20094,20,20,1,1,Ornament2_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
140,building,!!BLDG_NAME_ORNAMENT_3,20095,20,20,1,1,Ornament3_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
141,building,!!BLDG_NAME_ORNAMENT_4,20096,20,20,1,1,Ornament4_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
142,building,!!BLDG_NAME_ORNAMENT_5,20097,20,20,1,1,Ornament5_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
143,building,!!BLDG_NAME_CANDY_CANE_ARCH,20098,40,20,1,1,CandyCaneArch_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
144,building,!!BLDG_NAME_GARLAND_WRAPPED_POLE,20099,20,20,1,1,GarlandWrappedPole_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
145,building,!!BLDG_NAME_WILD_CHRISTMAS_TREE,20100,20,20,1,1,WildChristmasTree_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
146,building,!!BLDG_NAME_SILVER_CHRISTMAS_TREE,20101,20,20,1,1,SilverChristmasTree_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
147,building,!!BLDG_NAME_WINTRY_PLANT_1,20102,20,20,1,1,WintryPlantlife1_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
148,building,!!BLDG_NAME_WINTRY_PLANT_2,20103,20,20,1,1,WintryPlantlife2_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
149,building,!!BLDG_NAME_WINTRY_PLANT_3,20104,20,20,1,1,WintryPlantlife3_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
150,building,!!BLDG_NAME_WINTRY_PLANT_4,20105,20,20,1,1,WintryPlantlife4_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
151,building,!!BLDG_NAME_WINTRY_PLANT_5,20106,20,20,1,1,WintryPlantlife5_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
152,building,!!BLDG_NAME_WINTRY_PLANT_6,20107,20,20,1,1,WintryPlantlife6_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
153,building,!!BLDG_NAME_SAD_CHRISTMAS_TREE,20108,20,20,1,1,SadChristmasTree_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
154,building,!!BLDG_NAME_BOTTLE_LAUNCHER,20109,20,20,1,1,icon_XmasListShooter.png,0,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
155,building,!!BLDG_NAME_SNOW_PILE,20110,20,20,1,1,icon_PileOfSnow_Small.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
156,building,!!BLDG_NAME_SNOW_WALL,20111,40,40,1,1,icon_SnowWall.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
157,building,!!BLDG_NAME_PINK_CHRISTMAS_TREE,20112,20,20,1,1,icon_PinkHolidayCoralTree.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
158,building,!!BLDG_NAME_JELLYFISH_CHRISTMAS_TREE,20113,60,60,1,1,XmasCoralTreeWithJellyfish.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
159,building,!!BLDG_NAME_NUTCRACKER_PLANKTON,20114,20,20,1,1,icon_NutcrackerPlankton.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
160,building,!!BLDG_NAME_CARNIVAL_ENTRANCE,20200,60,40,1,1,valentines_CarnivalTicketKiosk_Icon.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
161,building,!!BLDG_NAME_LOVE_APPLES_STAND,20201,20,20,1,-1,valentines_LoveApplesStand_Icon.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
162,building,!!BLDG_NAME_THE_MITTEN,20202,80,80,1,-1,valentines_TheMitten_Icon.png,0,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
163,building,!!BLDG_NAME_BALLOON_CART,20203,20,20,1,-1,valentines_BalloonCart_Icon.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
164,building,!!BLDG_NAME_TENT_1,20204,40,40,1,-1,valentines_TentA_Icon.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
165,building,!!BLDG_NAME_TENT_2,20205,40,40,1,-1,valentines_TentB_Icon.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
166,building,!!BLDG_NAME_TENT_3,20206,40,40,1,-1,valentines_TentC_Icon.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
167,building,!!BLDG_NAME_KISSING_BOOTH,20207,40,40,1,-1,valentines_KissingBooth_Icon.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
168,building,!!BLDG_NAME_TOSS_A_CLAM,20208,40,40,1,-1,valentines_TossAClam_Icon.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
169,building,!!BLDG_NAME_GLOVEY_GLOVE_MASCOT,20209,20,20,1,1,valentines_GloveyGlove_Icon.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
170,building,!!BLDG_NAME_FUN_HOUSE,20210,40,40,1,-1,valentines_FunHouse_Icon.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
171,building,!!BLDG_NAME_BUDDY_BOUNCE,20211,40,40,1,-1,valentines_BuddyBounce_Icon.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
172,building,!!BLDG_NAME_SAUCER_RIDE,20212,60,60,1,-1,valentines_SaucerRide_Icon.png,0,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
173,building,!!BLDG_NAME_MERRY_GO_ROUND,20213,60,60,1,-1,valentines_MerryGoRound_Icon.png,0,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
174,building,!!BLDG_NAME_FERRIS_WHEEL,20214,60,40,1,-1,valentines_FerrisWheel_Icon.png,0,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
175,building,!!BLDG_NAME_HEART_A_WHIRL,20216,40,40,1,-1,valentines_heart-a-whirl_Icon.png,0,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
176,building,!!BLDG_NAME_FIERY_FIST_O_PAIN,20217,100,100,1,1,valentines_rollercoaster_Icon.png,0,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
177,building,!!DECO_FLOWERCORAL_BLISSGARDEN,60005,20,20,1,-1,Flowers_blue_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
178,building,!!DECO_FLOWERCORAL_BRANCHCORALBOUQUET,60006,20,20,1,-1,Flowers_blue_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
179,building,!!DECO_FLOWERCORAL_CORALCASTLE,60007,20,20,1,-1,Flowers_blue_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
180,building,!!DECO_FLOWERCORAL_CUPCORALBED,60008,20,20,1,-1,Flowers_blue_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
181,building,!!DECO_FLOWERCORAL_FLOWERBED,60009,20,20,1,-1,Flowers_blue_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
182,building,!!DECO_FLOWERCORAL_REEFPATCH,60010,20,20,1,-1,Flowers_blue_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
183,building,!!DECO_FLOWERCORAL_SMELLYMEDLEY,60011,20,20,1,-1,Flowers_blue_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
184,building,!!DECO_FLOWERCORAL_STINKYSEACOLLECTION,60012,20,20,1,-1,Flowers_blue_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
185,building,!!DECO_FLOWERCORAL_TUBESQUARE,60013,20,20,1,-1,Flowers_blue_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
186,building,!!DECO_CHANGING_TENT,20300,40,40,1,14,ChangingTent_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
187,building,!!DECO_GOO_LAGOON_SIGN,20301,40,20,1,1,GooLagoonSign_Portrait.png,0,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
188,building,!!DECO_LIFEGUARD_TOWER,20302,40,40,1,22,LifeGuardTower_Portrait.png,0,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
189,building,!!DECO_PICNIC_BASKET,20303,20,20,1,13,PicnicBasket_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
190,building,!!DECO_SINGING_CLAMS,20304,40,20,1,17,SingingClams_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
191,building,!!DECO_SPONGEBUCK_STATUE,20305,40,60,1,1,SpongeBuckStatue_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
192,building,!!DECO_TREE_FORT,20306,20,20,1,1,TreeFort_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
193,building,!!DECO_ROCK_CLIMBING,20401,40,40,1,1,icon_RockClimbingWall.png,0,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
194,building,!!DECO_SANDYS_DOJO,20402,60,60,1,1,icon_SandysDojo.png,0,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
195,building,!!DECO_FAST_FOOD_COLISEUM,20403,140,100,1,1,icon_Coliseum.png,0,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
196,building,!!DECO_TETHERBALL,20404,60,60,1,1,icon_TetherBall.png,0,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
197,building,!!DECO_VOLLEYBALL_COURT,20405,80,100,1,1,icon_VolleyballCourt.png,0,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
198,building,!!DECO_ANCHOVY_SPIN_CLASS,20406,60,80,1,1,icon_AnchovySpinClass.png,0,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
199,building,!!DECO_HALF_PIPE,20407,60,40,1,1,icon_HalfPipe.png,0,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
200,building,!!DECO_DANCE_STUDIO,20408,60,60,1,1,icon_DanceStudio.png,0,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
201,building,!!DECO_FLOATING_SWIMMING_POOL,20409,60,80,1,1,icon_SwimmingPool.png,0,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
202,building,!!DECO_GOLD_TORCH,20410,20,20,1,1,icon_GuildedTorch.png,0,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
203,building,!!DECO_FUNNEL_CORAL ,20500,20,20,1,3,FunnelCoralSpotted_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
204,building,!!DECO_KELP_ROCK ,20501,20,20,1,4,KelpOnRock_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
205,building,!!DECO_SMALL_CORAL_TREE,20502,20,20,1,5,CoralTreeSmall_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
206,building,!!DECO_LIVELY_ROCK ,20503,40,40,1,6,LifeOnRock_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
207,building,!!DECO_HOLEY_FUNNEL_CORAL,20504,20,20,1,1,FunnelCoralHoley_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
208,building,!!DECO_MEDIUM_CORAL_TREE,20505,20,20,1,11,CoralTreeMedium_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
209,building,!!DECO_BIKINI_BOTTOM_SIGN,20506,20,20,1,1,BikiniBottomSign_Portrait.png,0,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
210,building,!!DECO_BLUE_CORAL,20507,20,20,1,14,WeirdCactusFormation_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
211,building,!!DECO_FAN_CORAL,20508,20,40,1,14,FanCoral_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
212,building,!!DECO_LARGE_CORAL_TREE,20509,20,20,1,1,CoralTreeLarge_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
213,building,!!DECO_MUSSEL_BEACH_SIGN,20510,20,40,1,1,MusselBeachSign_Portrait.png,0,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
214,building,!!DECO_LARGE_PURPLE_CORAL_1,20511,60,20,1,17,LargeCoralFormationV1_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
215,building,!!DECO_LARGE_PURPLE_CORAL_2,20512,40,40,1,18,LargeCoralFormationV2_Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
216,building,!!DECO_FAKE_MONSTER,20605,60,20,1,1,icon_FakeSeaMonster.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
217,building,!!DECO_SPONGEBOB_FLAG,20607,20,20,1,1,icon_Spongebob_Flag.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
218,building,!!DECO_X_MARK_SPOT,20608,20,20,1,1,icon_XMarksTheSpot.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
219,building,!!BLDG_NAME_MM_BB_BILLBOARD,20609,40,20,1,1,MM&BB_sign.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
220,building,!!BLDG_NAME_KP_STATUE_MM,20610,20,20,1,1,MM_KrabbyPattyStatue.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
221,building,!!BLDG_NAME_KP_STATUE_BB,20611,20,20,1,1,BB_KrabbyPattyStatue.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
222,building,!!BLDG_NAME_CUTOUT_SINISTER_SLUG,20612,20,20,1,1,SinisterSlug_Cutout.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
223,building,!!BLDG_NAME_CUTOUT_ATOMIC_FLOUNDER,20613,20,20,1,1,AtomicFlounder_cutout.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
224,building,!!BLDG_NAME_CUTOUT_JUMBO_SHRIMP,20614,20,20,1,1,JumboShrimp_cutout.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
225,building,!!BLDG_NAME_MICRO_EVENT_TEST,99999,40,40,1,1,JumboShrimp_cutout.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
226,building,!!BLDG_NAME_FANCY_FOUNTAIN,20615,40,40,1,1,icon_FancyFountain.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
227,building,!!BLDG_NAME_FANCY_TABLE,20616,20,20,1,1,icon_FancyDinnerTable.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
228,building,!!BLDG_NAME_FANCY_CHAIR,20617,20,20,1,1,icon_FancyChair.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
229,building,!!BLDG_NAME_FANCY_PAINTING,20618,20,40,1,1,icon_FancyPainting.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
230,building,!!DECO_CHUM_BUCKET,20619,20,20,1,10,icon_ChumBucket1.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
231,building,!!DECO_CHUM_DRIVEUP_BOX,20620,20,20,1,10,icon_DriveUpBox.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
232,building,!!DECO_CHUM_SIGN,20621,40,20,1,10,icon_ChumSign.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
233,building,!!DECO_CHUM_PHONOGRAPH,20622,20,20,1,10,icon_ChumPhonograph.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
234,building,!!DECO_CHUM_KETCHUP_DISPENSOR,20623,20,40,1,10,icon_KetchupDispenser.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
235,building,!!BLDG_NAME_ROLLER_COASTER,20625,100,100,1,1,icon_HeartRollerCoaster.png,0,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
236,building,!!DECO_HEART_BALLOON,20626,40,40,1,1,ChocolateHeartBalloon.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
237,building,!!DECO_HEART_BENCH,20627,20,20,1,1,HeartBench.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
238,building,!!DECO_HEART_CORAL,20628,20,20,1,1,HeartCoral.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
239,building,!!DECO_HEART_STRINGS,20629,20,40,1,1,StringOfHearts.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
240,building,!!DECO_VALENTINES_CARNIVAL_SIGN,20630,40,20,1,1,ValentinesDayCarnivalSign.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
241,building,!!DECO_HIGH_SCHOOL_SIGN,20801,40,20,1,1,icon_HighSchoolSign.png,0,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
242,building,!!DECO_TP_TREE,20802,40,40,1,1,icon_ToiletPaperTree.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
243,building,!!DECO_BOAT_MOBILE,20902,40,20,1,19,Boat1Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
244,building,!!DECO_CLASSY_BOAT,20903,40,20,1,1,Boat2Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
245,building,!!DECO_LIMOSARDINE,20904,40,20,1,1,Boat3Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
246,building,!!DECO_TRAFFIC_CONE,20905,20,20,1,1,TrafficConePortrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
247,building,!!BLDG_NAME_LUCKY_DIME,21003,20,20,1,1,LuckyDimePortrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
248,building,!!BLDG_NAME_XMAS_FENCE,23001,20,20,1,1,icon_HolidayFence.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
249,building,!!BLDG_NAME_MERRY_BALLOON,23002,20,20,1,1,icon_HolidayBalloon1.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
250,building,!!BLDG_NAME_FESTIVE_BALLOON,23011,20,20,1,1,icon_HolidayBalloon2.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
251,building,!!BLDG_NAME_CHEERY_BALLOON,23012,20,20,1,1,icon_HolidayBalloon3.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
252,building,!!BLDG_NAME_XMAS_LIGHTS,23003,40,20,1,1,icon_LightStrand.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
253,building,!!BLDG_NAME_SNOW_CHAIR,23004,20,20,1,1,icon_SnowChair.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
254,building,!!BLDG_NAME_NEW_YEARS_STAR,23005,20,20,1,1,icon_NewYearsDeco.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
255,building,!!BLDG_NAME_LIGHTUP_PATRICK,23006,20,20,1,1,PatrickOrnamentPortrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
256,building,!!BLDG_NAME_FRUITCAKE_LANDFILL,23007,40,40,1,1,icon_FruitcakeLandfill.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
257,building,!!BLDG_NAME_XMAS_PARADE_FLOAT,23008,60,20,1,1,ParadeFloatPortrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
258,building,!!BLDG_NAME_JERKMAKER_9000,23009,40,40,1,1,Jerkmaker9000Portrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
259,building,!!BLDG_NAME_LIGHTUP_SPONGEBOB,23010,20,20,1,1,LightupSpongeBobPortrait.png,1,0,southeast,-1,-1,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
